<<<<<<< HEAD
bert/encoder/layer_1/intermediate/dense/bias 23972 23981
bert/encoder/layer_1/output/dense/kernel 23983 23997
bert/encoder/layer_1/output/dense/bias 23999 24008
bert/encoder/layer_1/attention/output/LayerNorm/beta 24010 24018
bert/encoder/layer_1/attention/self/query/kernel 24024 24033
bert/encoder/layer_1/attention/self/query/bias 24035 24043
bert/encoder/layer_1/attention/self/key/kernel 24045 24072
bert/encoder/layer_1/attention/self/key/bias 24074 24083
bert/encoder/layer_1/attention/self/value/kernel 24085 24093
bert/encoder/layer_1/attention/self/value/bias 24243 24267
bert/encoder/layer_1/attention/output/dense/kernel 24272 24281
bert/encoder/layer_1/attention/output/dense/bias 24283 24306
bert/encoder/layer_0/output/LayerNorm/beta 24308 24316
cls/predictions/transform/dense/mul/x 24317 24331
bert/encoder/layer_0/intermediate/dense/kernel 24333 24354
bert/encoder/layer_0/intermediate/dense/bias 24356 24365
ConstantFolding/gradients/bert/encoder/layer_0/intermediate/dense/truediv_grad/RealDiv_recip 24367 24380
bert/encoder/layer_0/output/dense/kernel 24382 24390
bert/encoder/layer_0/output/dense/bias 24392 24400
bert/encoder/layer_0/attention/output/LayerNorm/beta 24402 24413
bert/encoder/layer_0/attention/self/query/kernel 24414 24423
bert/encoder/layer_0/attention/self/query/bias 24425 24435
bert/encoder/layer_0/attention/self/key/kernel 24437 24445
bert/encoder/layer_0/attention/self/key/bias 24446 24453
bert/encoder/layer_11/attention/self/Mul/y 24455 24469
bert/encoder/ones 24471 24478
bert/encoder/Reshape/shape 24480 24486
bert/encoder/layer_11/attention/self/mul_1/y 24491 24497
gradients/bert/encoder/layer_0/attention/self/dropout/div_grad/Shape 24499 24506
bert/encoder/layer_0/attention/self/value/kernel 24508 24519
bert/encoder/layer_0/attention/self/value/bias 24521 24529
gradients/bert/encoder/layer_0/attention/self/Reshape_3_grad/Shape 24531 24545
gradients/bert/encoder/layer_0/attention/self/transpose_grad/InvertPermutation 24551 24577
bert/encoder/layer_0/attention/output/dense/kernel 24579 24587
bert/encoder/layer_0/attention/output/dense/bias 24588 24599
gradients/bert/embeddings/embedding_lookup_grad/concat 24601 24618
ConstantFolding/gradients/bert/embeddings/dropout/div_grad/RealDiv_recip 24621 24642
bert/embeddings/LayerNorm/beta 24644 24654
bert/embeddings/position_embeddings 24656 24664
bert/embeddings/assert_less_equal/All 24665 24675
bert/embeddings/assert_less_equal/x 24677 24682
bert/embeddings/assert_less_equal/y 24684 24688
bert/embeddings/word_embeddings 24690 24701
bert/embeddings/embedding_lookup/axis 24702 24707
cls/predictions/Reshape_1/shape 24709 24715
cls/seq_relationship/one_hot/depth 24719 24727
PolynomialDecay/Cast/x 24729 24735
bert/embeddings/token_type_embeddings 24736 24745
bert/embeddings/LayerNorm/gamma 24749 24757
Mul_1/x 24758 24795
bert/encoder/Reshape_1/shape 24797 24806
bert/encoder/layer_0/attention/output/LayerNorm/gamma 24808 24816
bert/encoder/layer_0/output/LayerNorm/gamma 24817 24825
bert/encoder/layer_1/attention/output/LayerNorm/gamma 24826 24839
bert/encoder/layer_1/output/LayerNorm/gamma 24840 24848
bert/encoder/layer_2/attention/output/LayerNorm/gamma 24849 24856
bert/encoder/layer_2/output/LayerNorm/gamma 24861 24868
bert/encoder/layer_3/attention/output/LayerNorm/gamma 24870 24876
bert/encoder/layer_3/output/LayerNorm/gamma 24878 24889
bert/encoder/layer_4/attention/output/LayerNorm/gamma 24891 24898
bert/encoder/layer_4/output/LayerNorm/gamma 24900 24907
bert/encoder/layer_5/attention/output/LayerNorm/gamma 24911 24919
bert/encoder/layer_5/output/LayerNorm/gamma 24921 24928
bert/encoder/layer_6/attention/output/LayerNorm/gamma 24929 24940
bert/encoder/layer_6/output/LayerNorm/gamma 24942 24949
bert/encoder/layer_7/attention/output/LayerNorm/gamma 24950 24957
bert/encoder/layer_7/output/LayerNorm/gamma 24959 24970
bert/encoder/layer_8/attention/output/LayerNorm/gamma 24971 24978
bert/encoder/layer_8/output/LayerNorm/gamma 24980 24994
bert/encoder/layer_9/attention/output/LayerNorm/gamma 24996 25003
bert/encoder/layer_9/output/LayerNorm/gamma 25005 25012
bert/encoder/layer_10/attention/output/LayerNorm/gamma 25014 25024
bert/encoder/layer_10/output/LayerNorm/gamma 25026 25033
bert/encoder/layer_11/attention/output/LayerNorm/gamma 25034 25046
cls/predictions/transform/LayerNorm/batchnorm/add/y 25048 25059
bert/encoder/layer_11/output/LayerNorm/gamma 25061 25068
gradients/bert/embeddings/LayerNorm/moments/SquaredDifference_grad/Shape 25069 25079
bert/pooler/strided_slice/stack 25081 25086
bert/pooler/strided_slice/stack_1 25088 25093
bert/pooler/strided_slice/stack_2 25097 25102
bert/pooler/dense/kernel 25104 25111
bert/pooler/dense/bias 25113 25123
cls/seq_relationship/output_weights 25125 25132
cls/seq_relationship/output_bias 25134 25141
bert/encoder/layer_8/attention/output/dense/bias/adam_m/read 25143 25157
bert/encoder/layer_8/attention/output/dense/bias/adam_v/read 25160 25166
bert/encoder/layer_8/attention/output/LayerNorm/beta/adam_m/read 25169 25179
bert/encoder/layer_8/attention/output/LayerNorm/beta/adam_v/read 25181 25188
bert/encoder/layer_8/attention/output/LayerNorm/gamma/adam_m/read 25190 25196
bert/encoder/layer_8/attention/output/LayerNorm/gamma/adam_v/read 25208 25214
bert/encoder/layer_0/attention/output/LayerNorm/gamma/adam_m/read 25216 25222
bert/encoder/layer_8/intermediate/dense/kernel/adam_m/read 25224 25234
bert/encoder/layer_8/intermediate/dense/kernel/adam_v/read 25237 25243
bert/encoder/layer_8/intermediate/dense/bias/adam_m/read 25245 25254
bert/encoder/layer_8/intermediate/dense/bias/adam_v/read 25256 25262
bert/encoder/layer_8/output/dense/kernel/adam_m/read 25264 25270
bert/encoder/layer_8/output/dense/kernel/adam_v/read 25272 25282
bert/encoder/layer_8/output/dense/bias/adam_m/read 25285 25291
bert/encoder/layer_0/attention/output/LayerNorm/gamma/adam_v/read 25293 25302
bert/encoder/layer_8/output/dense/bias/adam_v/read 25305 25311
bert/encoder/layer_8/output/LayerNorm/beta/adam_m/read 25313 25319
bert/encoder/layer_8/output/LayerNorm/beta/adam_v/read 25326 25332
bert/encoder/layer_8/output/LayerNorm/gamma/adam_m/read 25335 25341
bert/encoder/layer_8/output/LayerNorm/gamma/adam_v/read 25343 25352
bert/encoder/layer_9/attention/self/query/kernel/adam_m/read 25354 25361
bert/encoder/layer_9/attention/self/query/kernel/adam_v/read 25363 25369
bert/encoder/layer_9/attention/self/query/bias/adam_m/read 25374 25380
bert/encoder/layer_9/attention/self/query/bias/adam_v/read 25383 25388
bert/encoder/layer_9/attention/self/key/kernel/adam_m/read 25391 25400
bert/encoder/layer_9/attention/self/key/kernel/adam_v/read 25402 25408
bert/encoder/layer_9/attention/self/key/bias/adam_m/read 25410 25419
bert/encoder/layer_9/attention/self/key/bias/adam_v/read 25422 25428
bert/encoder/layer_0/intermediate/dense/kernel/adam_m/read 25431 25437
bert/encoder/layer_9/attention/self/value/kernel/adam_m/read 25442 25448
bert/encoder/layer_9/attention/self/value/kernel/adam_v/read 25451 25457
bert/encoder/layer_9/attention/self/value/bias/adam_m/read 25459 25468
bert/encoder/layer_9/attention/self/value/bias/adam_v/read 25471 25477
bert/encoder/layer_9/attention/output/dense/kernel/adam_m/read 25479 25486
bert/encoder/layer_9/attention/output/dense/kernel/adam_v/read 25491 25497
bert/encoder/layer_9/attention/output/dense/bias/adam_m/read 25500 25506
bert/encoder/layer_0/intermediate/dense/kernel/adam_v/read 25508 25517
bert/encoder/layer_9/attention/output/dense/bias/adam_v/read 25519 25525
bert/encoder/layer_9/attention/output/LayerNorm/beta/adam_m/read 25527 25536
bert/encoder/layer_9/attention/output/LayerNorm/beta/adam_v/read 25538 25544
bert/encoder/layer_9/attention/output/LayerNorm/gamma/adam_m/read 25547 25554
bert/encoder/layer_9/attention/output/LayerNorm/gamma/adam_v/read 25559 25565
bert/encoder/layer_9/intermediate/dense/kernel/adam_m/read 25567 25573
bert/encoder/layer_9/intermediate/dense/kernel/adam_v/read 25576 25585
bert/encoder/layer_9/intermediate/dense/bias/adam_m/read 25587 25593
bert/encoder/layer_9/intermediate/dense/bias/adam_v/read 25595 25601
bert/encoder/layer_9/output/dense/kernel/adam_m/read 25607 25613
bert/encoder/layer_9/output/dense/kernel/adam_v/read 25615 25623
bert/encoder/layer_9/output/dense/bias/adam_m/read 25625 25635
bert/encoder/layer_9/output/dense/bias/adam_v/read 25637 25643
bert/encoder/layer_0/intermediate/dense/bias/adam_m/read 25645 25655
bert/encoder/layer_9/output/LayerNorm/beta/adam_m/read 25658 25664
bert/encoder/layer_9/output/LayerNorm/beta/adam_v/read 25666 25672
bert/encoder/layer_9/output/LayerNorm/gamma/adam_m/read 25675 25684
bert/encoder/layer_9/output/LayerNorm/gamma/adam_v/read 25686 25692
bert/encoder/layer_10/attention/self/query/kernel/adam_m/read 25694 25704
bert/encoder/layer_10/attention/self/query/kernel/adam_v/read 25706 25712
bert/encoder/layer_10/attention/self/query/bias/adam_m/read 25715 25721
bert/embeddings/token_type_embeddings/adam_v/read 25726 25732
bert/encoder/layer_0/intermediate/dense/bias/adam_v/read 25735 25741
bert/encoder/layer_10/attention/self/query/bias/adam_v/read 25743 25755
bert/encoder/layer_10/attention/self/key/kernel/adam_m/read 25757 25763
bert/encoder/layer_10/attention/self/key/kernel/adam_v/read 25785 25796
bert/encoder/layer_10/attention/self/key/bias/adam_m/read 25798 25804
bert/encoder/layer_10/attention/self/key/bias/adam_v/read 25806 25812
bert/encoder/layer_10/attention/self/value/kernel/adam_m/read 25814 25823
bert/encoder/layer_10/attention/self/value/kernel/adam_v/read 25826 25837
bert/encoder/layer_10/attention/self/value/bias/adam_m/read 25840 25849
bert/encoder/layer_10/attention/self/value/bias/adam_v/read 25851 25858
bert/encoder/layer_10/attention/output/dense/kernel/adam_m/read 25860 25866
bert/encoder/layer_10/attention/output/dense/kernel/adam_v/read 25872 25878
bert/encoder/layer_10/attention/output/dense/bias/adam_m/read 25881 25887
bert/encoder/layer_10/attention/output/dense/bias/adam_v/read 25889 25898
bert/encoder/layer_0/output/dense/kernel/adam_m/read 25901 25907
bert/encoder/layer_10/attention/output/LayerNorm/beta/adam_m/read 25909 25918
bert/encoder/layer_10/attention/output/LayerNorm/beta/adam_v/read 25921 25927
bert/encoder/layer_10/attention/output/LayerNorm/gamma/adam_m/read 25929 25935
bert/encoder/layer_10/attention/output/LayerNorm/gamma/adam_v/read 25938 25947
bert/encoder/layer_10/intermediate/dense/kernel/adam_m/read 25949 25955
bert/encoder/layer_10/intermediate/dense/kernel/adam_v/read 25958 25967
bert/encoder/layer_10/intermediate/dense/bias/adam_m/read 25969 25975
bert/encoder/layer_0/output/dense/kernel/adam_v/read 25978 25984
bert/encoder/layer_10/intermediate/dense/bias/adam_v/read 25989 25995
bert/encoder/layer_10/output/dense/kernel/adam_m/read 25997 26003
bert/encoder/layer_10/output/dense/kernel/adam_v/read 26005 26016
bert/encoder/layer_10/output/dense/bias/adam_m/read 26019 26024
bert/encoder/layer_10/output/dense/bias/adam_v/read 26027 26035
bert/encoder/layer_10/output/LayerNorm/beta/adam_m/read 26037 26044
bert/encoder/layer_10/output/LayerNorm/beta/adam_v/read 26046 26052
bert/encoder/layer_10/output/LayerNorm/gamma/adam_m/read 26054 26063
bert/encoder/layer_10/output/LayerNorm/gamma/adam_v/read 26065 26071
bert/encoder/layer_11/attention/self/query/kernel/adam_m/read 26074 26083
bert/encoder/layer_11/attention/self/query/kernel/adam_v/read 26085 26091
bert/encoder/layer_11/attention/self/query/bias/adam_m/read 26094 26099
bert/encoder/layer_11/attention/self/query/bias/adam_v/read 26107 26113
bert/encoder/layer_0/output/dense/bias/adam_m/read 26115 26121
bert/encoder/layer_11/attention/self/key/kernel/adam_m/read 26123 26133
bert/encoder/layer_11/attention/self/key/kernel/adam_v/read 26135 26141
bert/encoder/layer_11/attention/self/key/bias/adam_m/read 26144 26150
bert/encoder/layer_11/attention/self/key/bias/adam_v/read 26156 26162
bert/encoder/layer_11/attention/self/value/kernel/adam_m/read 26164 26170
bert/encoder/layer_11/attention/self/value/kernel/adam_v/read 26173 26181
bert/encoder/layer_11/attention/self/value/bias/adam_m/read 26184 26189
bert/encoder/layer_0/output/dense/bias/adam_v/read 26192 26201
bert/encoder/layer_11/attention/self/value/bias/adam_v/read 26204 26210
bert/encoder/layer_11/attention/output/dense/kernel/adam_m/read 26212 26219
bert/encoder/layer_11/attention/output/dense/kernel/adam_v/read 26224 26231
bert/encoder/layer_11/attention/output/dense/bias/adam_m/read 26233 26239
bert/encoder/layer_11/attention/output/dense/bias/adam_v/read 26241 26305
bert/encoder/layer_11/attention/output/LayerNorm/beta/adam_m/read 26308 26315
bert/encoder/layer_11/attention/output/LayerNorm/beta/adam_v/read 26318 26323
bert/encoder/layer_11/attention/output/LayerNorm/gamma/adam_m/read 26329 26334
bert/encoder/layer_11/attention/output/LayerNorm/gamma/adam_v/read 26337 26343
bert/encoder/layer_11/intermediate/dense/kernel/adam_m/read 26352 26375
bert/encoder/layer_11/intermediate/dense/kernel/adam_v/read 26378 26384
bert/encoder/layer_11/intermediate/dense/bias/adam_m/read 26386 26395
bert/encoder/layer_11/intermediate/dense/bias/adam_v/read 26398 26404
bert/encoder/layer_0/output/LayerNorm/beta/adam_m/read 26406 26412
bert/encoder/layer_11/output/dense/kernel/adam_m/read 26418 26424
bert/encoder/layer_11/output/dense/kernel/adam_v/read 26426 26431
bert/encoder/layer_11/output/dense/bias/adam_m/read 26434 26443
bert/encoder/layer_11/output/dense/bias/adam_v/read 26445 26451
bert/encoder/layer_11/output/LayerNorm/beta/adam_m/read 26453 26458
bert/encoder/layer_11/output/LayerNorm/beta/adam_v/read 26463 26469
bert/encoder/layer_11/output/LayerNorm/gamma/adam_m/read 26472 26477
bert/encoder/layer_0/output/LayerNorm/beta/adam_v/read 26479 26492
bert/encoder/layer_11/output/LayerNorm/gamma/adam_v/read 26494 26500
bert/pooler/dense/kernel/adam_m/read 26502 26508
bert/pooler/dense/kernel/adam_v/read 26513 26519
bert/pooler/dense/bias/adam_m/read 26522 26527
bert/pooler/dense/bias/adam_v/read 26529 26538
cls/predictions/transform/dense/kernel/adam_m/read 26541 26547
cls/predictions/transform/dense/kernel/adam_v/read 26549 26554
cls/predictions/transform/dense/bias/adam_m/read 26560 26566
cls/predictions/transform/dense/bias/adam_v/read 26568 26574
cls/predictions/transform/LayerNorm/beta/adam_m/read 26576 26585
cls/predictions/transform/LayerNorm/beta/adam_v/read 26587 26593
cls/predictions/transform/LayerNorm/gamma/adam_m/read 26595 26601
cls/predictions/transform/LayerNorm/gamma/adam_v/read 26606 26612
bert/encoder/layer_0/output/LayerNorm/gamma/adam_m/read 26614 26620
cls/predictions/output_bias/adam_m/read 26622 26631
cls/predictions/output_bias/adam_v/read 26634 26639
cls/seq_relationship/output_weights/adam_m/read 26642 26651
cls/seq_relationship/output_weights/adam_v/read 26654 26660
cls/seq_relationship/output_bias/adam_m/read 26662 26668
cls/seq_relationship/output_bias/adam_v/read 26670 26679
bert/encoder/layer_0/output/LayerNorm/gamma/adam_v/read 26681 26687
bert/encoder/layer_1/attention/self/query/kernel/adam_m/read 26689 26698
bert/encoder/layer_1/attention/self/query/kernel/adam_v/read 26701 26706
bert/encoder/layer_1/attention/self/query/bias/adam_m/read 26708 26714
bert/encoder/layer_1/attention/self/query/bias/adam_v/read 26720 26725
bert/embeddings/position_embeddings/adam_m/read 26728 26734
bert/encoder/layer_1/attention/self/key/kernel/adam_m/read 26736 26746
bert/encoder/layer_1/attention/self/key/kernel/adam_v/read 26748 26754
bert/encoder/layer_1/attention/self/key/bias/adam_m/read 26756 26762
bert/encoder/layer_1/attention/self/key/bias/adam_v/read 26767 26773
bert/encoder/layer_1/attention/self/value/kernel/adam_m/read 26776 26781
bert/encoder/layer_1/attention/self/value/kernel/adam_v/read 26784 26800
bert/encoder/layer_1/attention/self/value/bias/adam_m/read 26803 26808
bert/embeddings/position_embeddings/adam_v/read 26810 26819
bert/encoder/layer_1/attention/self/value/bias/adam_v/read 26822 26827
bert/encoder/layer_1/attention/output/dense/kernel/adam_m/read 26830 26836
bert/encoder/layer_1/attention/output/dense/kernel/adam_v/read 26841 26847
bert/encoder/layer_1/attention/output/dense/bias/adam_m/read 26850 26855
bert/encoder/layer_1/attention/output/dense/bias/adam_v/read 26857 26980
bert/encoder/layer_1/attention/output/LayerNorm/beta/adam_m/read 26993 27032
bert/encoder/layer_1/attention/output/LayerNorm/beta/adam_v/read 27036 27044
bert/embeddings/LayerNorm/beta/adam_m/read 27052 27061
bert/embeddings/LayerNorm/beta/adam_v/read 27065 27073
bert/encoder/layer_1/attention/output/LayerNorm/gamma/adam_m/read 27076 27089
bert/encoder/layer_1/attention/output/LayerNorm/gamma/adam_v/read 27093 27101
bert/encoder/layer_1/intermediate/dense/kernel/adam_m/read 27104 27116
bert/encoder/layer_1/intermediate/dense/kernel/adam_v/read 27120 27128
global_step/VarIsInitializedOp 27132 27165
ReadVariableOp 27173 27187
PolynomialDecay/Cast_2/ReadVariableOp 27191 27199
bert/encoder/layer_1/intermediate/dense/bias/adam_m/read 27202 27215
bert/encoder/layer_1/intermediate/dense/bias/adam_v/read 27218 27227
cls/predictions/transform/LayerNorm/beta/read 27230 27239
add 27245 27320
cls/predictions/transform/dense/kernel/read 27325 27335
cls/predictions/transform/dense/bias/read 27338 27351
cls/predictions/transform/LayerNorm/gamma/read 27354 27363
cls/predictions/output_bias/read 27366 27374
bert/encoder/layer_11/output/LayerNorm/beta/read 27377 27389
bert/encoder/layer_11/intermediate/dense/kernel/read 27392 27401
bert/encoder/layer_11/intermediate/dense/bias/read 27405 27416
bert/encoder/layer_11/output/dense/kernel/read 27419 27428
bert/encoder/layer_11/output/dense/bias/read 27431 27439
bert/encoder/layer_11/attention/output/LayerNorm/beta/read 27443 27470
bert/encoder/layer_11/attention/self/query/kernel/read 27473 27482
bert/encoder/layer_11/attention/self/query/bias/read 27486 27502
bert/encoder/layer_11/attention/self/key/kernel/read 27506 27514
bert/encoder/layer_11/attention/self/key/bias/read 27519 27527
bert/encoder/layer_11/attention/self/value/kernel/read 27534 27542
bert/encoder/layer_11/attention/self/value/bias/read 27546 27553
bert/encoder/layer_11/attention/output/dense/kernel/read 27557 27569
bert/encoder/layer_11/attention/output/dense/bias/read 27572 27581
bert/encoder/layer_10/output/LayerNorm/beta/read 27584 27592
bert/encoder/layer_10/intermediate/dense/kernel/read 27600 27609
bert/encoder/layer_10/intermediate/dense/bias/read 27613 27620
bert/encoder/layer_10/output/dense/kernel/read 27623 27636
bert/encoder/layer_10/output/dense/bias/read 27640 27648
bert/encoder/layer_10/attention/output/LayerNorm/beta/read 27651 27663
bert/encoder/layer_10/attention/self/query/kernel/read 27666 27675
bert/encoder/layer_10/attention/self/query/bias/read 27678 27686
bert/encoder/layer_10/attention/self/key/kernel/read 27689 27701
bert/encoder/layer_10/attention/self/key/bias/read 27704 27712
bert/encoder/layer_10/attention/self/value/kernel/read 27715 27728
bert/encoder/layer_10/attention/self/value/bias/read 27731 27740
bert/encoder/layer_10/attention/output/dense/kernel/read 27743 27752
bert/encoder/layer_10/attention/output/dense/bias/read 27759 27767
bert/encoder/layer_9/output/LayerNorm/beta/read 27770 27779
bert/encoder/layer_9/intermediate/dense/kernel/read 27781 27794
bert/encoder/layer_9/intermediate/dense/bias/read 27798 27806
bert/encoder/layer_9/output/dense/kernel/read 27808 27817
bert/encoder/layer_9/output/dense/bias/read 27824 27832
bert/encoder/layer_9/attention/output/LayerNorm/beta/read 27836 27845
bert/encoder/layer_9/attention/self/query/kernel/read 27848 27861
bert/encoder/layer_9/attention/self/query/bias/read 27864 27873
bert/encoder/layer_9/attention/self/key/kernel/read 27875 27884
bert/encoder/layer_9/attention/self/key/bias/read 27891 27899
bert/encoder/layer_9/attention/self/value/kernel/read 27903 27911
bert/encoder/layer_9/attention/self/value/bias/read 27914 27926
bert/encoder/layer_9/attention/output/dense/kernel/read 27929 27938
bert/encoder/layer_9/attention/output/dense/bias/read 27942 27953
bert/encoder/layer_8/output/LayerNorm/beta/read 27957 27965
bert/encoder/layer_8/intermediate/dense/kernel/read 27968 27977
bert/encoder/layer_8/intermediate/dense/bias/read 27980 27991
bert/embeddings/word_embeddings/adam_m/read 27994 28003
bert/encoder/layer_1/output/dense/kernel/adam_m/read 28006 28018
bert/encoder/layer_1/output/dense/kernel/adam_v/read 28021 28029
bert/encoder/layer_1/output/dense/bias/adam_m/read 28033 28083
bert/encoder/layer_1/output/dense/bias/adam_v/read 28091 28099
bert/encoder/layer_1/output/LayerNorm/beta/adam_m/read 28103 28110
bert/encoder/layer_1/output/LayerNorm/beta/adam_v/read 28114 28125
bert/encoder/layer_1/output/LayerNorm/gamma/adam_m/read 28129 28136
bert/encoder/layer_1/output/LayerNorm/gamma/adam_v/read 28139 28146
bert/encoder/layer_2/attention/self/query/kernel/adam_m/read 28153 28161
bert/encoder/layer_2/attention/self/query/kernel/adam_v/read 28164 28172
bert/encoder/layer_2/attention/self/query/bias/adam_m/read 28175 28186
bert/encoder/layer_2/attention/self/query/bias/adam_v/read 28190 28197
bert/encoder/layer_2/attention/self/key/kernel/adam_m/read 28200 28211
bert/encoder/layer_2/attention/self/key/kernel/adam_v/read 28214 28222
bert/encoder/layer_2/attention/self/key/bias/adam_m/read 28225 28232
bert/encoder/layer_2/attention/self/key/bias/adam_v/read 28235 28246
bert/encoder/layer_2/attention/self/value/kernel/adam_m/read 28249 28257
bert/encoder/layer_2/attention/self/value/kernel/adam_v/read 28260 28271
bert/encoder/layer_2/attention/self/value/bias/adam_m/read 28274 28282
bert/encoder/layer_2/attention/self/value/bias/adam_v/read 28285 28292
bert/embeddings/LayerNorm/gamma/adam_m/read 28298 28306
bert/encoder/layer_2/attention/output/dense/kernel/adam_m/read 28312 28320
bert/encoder/layer_2/attention/output/dense/kernel/adam_v/read 28324 28335
bert/encoder/layer_2/attention/output/dense/bias/adam_m/read 28338 28345
bert/encoder/layer_2/attention/output/dense/bias/adam_v/read 28348 28359
bert/encoder/layer_2/attention/output/LayerNorm/beta/adam_m/read 28362 28369
bert/encoder/layer_2/attention/output/LayerNorm/beta/adam_v/read 28372 28380
bert/encoder/layer_2/attention/output/LayerNorm/gamma/adam_m/read 28383 28394
bert/embeddings/LayerNorm/gamma/adam_v/read 28397 28405
bert/encoder/layer_2/attention/output/LayerNorm/gamma/adam_v/read 28408 28421
bert/encoder/layer_2/intermediate/dense/kernel/adam_m/read 28424 28432
bert/encoder/layer_2/intermediate/dense/kernel/adam_v/read 28435 28442
bert/encoder/layer_2/intermediate/dense/bias/adam_m/read 28449 28457
bert/encoder/layer_2/intermediate/dense/bias/adam_v/read 28460 28468
bert/encoder/layer_2/output/dense/kernel/adam_m/read 28471 28482
bert/encoder/layer_2/output/dense/kernel/adam_v/read 28485 28493
bert/encoder/layer_2/output/dense/bias/adam_m/read 28496 28503
bert/encoder/layer_2/output/dense/bias/adam_v/read 28510 28517
bert/encoder/layer_2/output/LayerNorm/beta/adam_m/read 28520 28527
bert/encoder/layer_2/output/LayerNorm/beta/adam_v/read 28531 28541
bert/encoder/layer_2/output/LayerNorm/gamma/adam_m/read 28544 28552
bert/encoder/layer_2/output/LayerNorm/gamma/adam_v/read 28555 28565
bert/encoder/layer_0/attention/self/query/kernel/adam_m/read 28569 28576
bert/encoder/layer_3/attention/self/query/kernel/adam_m/read 28579 28587
bert/encoder/layer_3/attention/self/query/kernel/adam_v/read 28593 28602
bert/encoder/layer_3/attention/self/query/bias/adam_m/read 28605 28612
bert/encoder/layer_3/attention/self/query/bias/adam_v/read 28616 28626
bert/encoder/layer_3/attention/self/key/kernel/adam_m/read 28629 28637
bert/encoder/layer_3/attention/self/key/kernel/adam_v/read 28639 28647
bert/encoder/layer_3/attention/self/key/bias/adam_m/read 28653 28660
bert/encoder/layer_0/attention/self/query/kernel/adam_v/read 28663 28671
bert/encoder/layer_3/attention/self/key/bias/adam_v/read 28674 28685
bert/encoder/layer_3/attention/self/value/kernel/adam_m/read 28688 28696
bert/encoder/layer_3/attention/self/value/kernel/adam_v/read 28699 28710
bert/encoder/layer_3/attention/self/value/bias/adam_m/read 28713 28720
bert/encoder/layer_3/attention/self/value/bias/adam_v/read 28723 28730
bert/encoder/layer_3/attention/output/dense/kernel/adam_m/read 28737 28745
bert/encoder/layer_3/attention/output/dense/kernel/adam_v/read 28748 28755
bert/encoder/layer_3/attention/output/dense/bias/adam_m/read 28758 28770
bert/encoder/layer_3/attention/output/dense/bias/adam_v/read 28773 28780
bert/encoder/layer_3/attention/output/LayerNorm/beta/adam_m/read 28783 28791
bert/encoder/layer_3/attention/output/LayerNorm/beta/adam_v/read 28799 28806
bert/encoder/layer_3/attention/output/LayerNorm/gamma/adam_m/read 28809 28817
bert/encoder/layer_3/attention/output/LayerNorm/gamma/adam_v/read 28820 28832
bert/encoder/layer_0/attention/self/query/bias/adam_m/read 28835 28843
bert/encoder/layer_3/intermediate/dense/kernel/adam_m/read 28845 28857
bert/encoder/layer_3/intermediate/dense/kernel/adam_v/read 28860 28868
bert/encoder/layer_3/intermediate/dense/bias/adam_m/read 28871 28878
bert/encoder/layer_3/intermediate/dense/bias/adam_v/read 28885 28892
bert/encoder/layer_3/output/dense/kernel/adam_m/read 28895 28903
bert/encoder/layer_3/output/dense/kernel/adam_v/read 28906 28917
bert/encoder/layer_3/output/dense/bias/adam_m/read 28920 28927
bert/embeddings/word_embeddings/adam_v/read 28930 28938
bert/encoder/layer_0/attention/self/query/bias/adam_v/read 28944 28952
bert/encoder/layer_3/output/dense/bias/adam_v/read 28955 28962
bert/encoder/layer_3/output/LayerNorm/beta/adam_m/read 28965 28976
bert/encoder/layer_3/output/LayerNorm/beta/adam_v/read 28978 28986
bert/encoder/layer_3/output/LayerNorm/gamma/adam_m/read 28989 28996
bert/encoder/layer_3/output/LayerNorm/gamma/adam_v/read 29003 29010
bert/encoder/layer_4/attention/self/query/kernel/adam_m/read 29013 29021
bert/encoder/layer_4/attention/self/query/kernel/adam_v/read 29024 29035
bert/encoder/layer_4/attention/self/query/bias/adam_m/read 29038 29046
bert/encoder/layer_4/attention/self/query/bias/adam_v/read 29049 29060
bert/encoder/layer_4/attention/self/key/kernel/adam_m/read 29063 29071
bert/encoder/layer_4/attention/self/key/kernel/adam_v/read 29074 29081
bert/encoder/layer_4/attention/self/key/bias/adam_m/read 29087 29095
bert/encoder/layer_4/attention/self/key/bias/adam_v/read 29098 29105
bert/encoder/layer_0/attention/self/key/kernel/adam_m/read 29108 29120
bert/encoder/layer_4/attention/self/value/kernel/adam_m/read 29122 29130
bert/encoder/layer_4/attention/self/value/kernel/adam_v/read 29134 29145
bert/encoder/layer_4/attention/self/value/bias/adam_m/read 29148 29155
bert/encoder/layer_4/attention/self/value/bias/adam_v/read 29158 29166
bert/encoder/layer_4/attention/output/dense/kernel/adam_m/read 29168 29180
bert/encoder/layer_4/attention/output/dense/kernel/adam_v/read 29183 29190
bert/encoder/layer_4/attention/output/dense/bias/adam_m/read 29193 29204
bert/encoder/layer_0/attention/self/key/kernel/adam_v/read 29208 29215
bert/encoder/layer_4/attention/output/dense/bias/adam_v/read 29218 29225
bert/encoder/layer_4/attention/output/LayerNorm/beta/adam_m/read 29233 29240
bert/encoder/layer_4/attention/output/LayerNorm/beta/adam_v/read 29244 29251
bert/encoder/layer_4/attention/output/LayerNorm/gamma/adam_m/read 29254 29264
bert/encoder/layer_4/attention/output/LayerNorm/gamma/adam_v/read 29267 29275
bert/encoder/layer_4/intermediate/dense/kernel/adam_m/read 29278 29289
